filename,ESWindowDark,ESWindowLight,ESSigmaDark,ESSigmaLight,ESMinDark,ESMaxDark,ESMinMaxBandDark,ESMinLight,ESMaxLight,ESMinMaxBandLight,LIWindowDark,LIWindowLight,LISigmaDark,LISigmaLight,LIMinDark,LIMaxDark,LIMinMaxBandDark,LIMinLight,LIMaxLight,LIMinMaxBandLight,LTWindowDark,LTWindowLight,LTSigmaDark,LTSigmaLight,LTMinDark,LTMaxDark,LTMinMaxBandDark,LTMinLight,LTMaxLight,LTMinMaxBandLight,Threshold
2019-251-132410_L1C,9,11,2.7,3.5,-999,-2.5,379.69,42.0,-999,439.71,9,11,2.7,2.5,-999,-999,505.55,-999,-999,505.55,9,11,2.7,3.7,-999,-999,-999,-999,-999,-999,1
2019-251-132826_L1C,9,7,2.7,2.5,-999,-999,-999,-999,-999,-999,9,5,2.7,2.5,-999,-999,-999,-999,-999,-999,9,11,2.7,3.7,-999,-999,-999,-999,-999,-999,1
2019-251-133027_L1C,9,5,2.7,3.7,-999,-999,-999,-999,-999,-999,11,5,2.7,2.7,-999,0.0,495.48,6.0,-999,495.48,9,11,2.7,3.7,-999,-999,-999,-999,-999,-999,1
2019-251-135120_L1C,9,5,2.7,3.7,-999,-999,-999,-999,-999,-999,11,5,2.5,3.2,-999,-999,-999,7.0,-999,495.48,9,11,2.7,3.7,-999,-999,-999,-999,-999,-999,1
2019-251-144326_L1C,13,5,2.5,3.7,-999,-999,-999,-999,-999,-999,11,5,2.2,3.2,-0.2,0.0,505.55,3.5,14.0,505.55,9,11,2.7,3.2,-999,-999,-999,-999,-999,-999,1
2019-251-150707_L1C,25,19,3.0,3.5,-999,-1.4,503.17,120.0,-999,503.17,21,9,2.2,3.5,-0.1,0.0,502.19,4.0,10.0,502.19,9,11,2.7,3.7,-0.2,-999,501.95,-999,4.0,501.95,1
2019-251-163039_L1C,13,5,3.5,3.7,-999,-999,-999,-999,-999,-999,11,5,2.2,3.2,-0.2,0.0,505.55,3.5,-999,505.55,9,11,2.7,3.2,-999,-999,-999,-999,-999,-999,1
2019-251-175404_L1C,13,9,3.5,4.3,-999,-999,-999,-999,-999,-999,11,5,3.5,3.2,-999,0.0,505.55,3.2,-999,505.55,9,11,4.0,3.2,-999,-999,-999,-999,-999,-999,1
2019-251-185138_L1C,13,9,3.5,4.3,-999,-999,-999,-999,-999,-999,11,5,3.9,3.7,-999,0.0,505.55,3.2,-999,505.55,9,11,4.0,3.2,-999,-999,-999,-999,-999,-999,1
